depth,hidden_size,activation_type,dropout,optimizer_name,learning_rate,l2_val,best_val_acc,last_train_acc
1,32,relu,0.0,sgd,0.15,0.0,0.84625,0.8654903846153846
3,32,relu,0.0,sgd,0.15,0.0,0.8610096153846154,0.8843365384615385
5,32,relu,0.0,sgd,0.15,0.0,0.8602884615384615,0.8834423076923077
7,32,relu,0.0,sgd,0.15,0.0,0.8506730769230769,0.8693173076923076
9,32,relu,0.0,sgd,0.15,0.0,0.8433653846153846,0.8595192307692308
