depth,hidden_size,activation_type,dropout,optimizer_name,learning_rate,l2_val,best_val_acc,last_train_acc
1,32,relu,0.0,sgd,0.15,0.0001,0.8492307692307692,0.8657884615384616
3,32,relu,0.0,sgd,0.15,0.0001,0.8670673076923077,0.8859711538461539
5,32,relu,0.0,sgd,0.15,0.0001,0.8659134615384615,0.8859134615384615
7,32,relu,0.0,sgd,0.15,0.0001,0.8563942307692308,0.8473557692307693
9,32,relu,0.0,sgd,0.15,0.0001,0.038461538461538464,0.038461538461538464
